"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Price","Variant Requires Shipping","Variant Taxable","Status"
"spout-pouch","","","","","","","FALSE","Order quantity","1,000 units","FP-104-1000","24960.00","TRUE","TRUE","draft"
"spout-pouch","","","","","","","FALSE","Order quantity","2,500 units","FP-104-2500","46400.00","TRUE","TRUE","draft"
"spout-pouch","","","","","","","FALSE","Order quantity","5,000 units","FP-104-5000","72000.00","TRUE","TRUE","draft"
"sachet-stick-pack","Sachet / Stick Pack","<p>Sugar, salt, condiments, instant coffee, ORS, supplements</p><p><strong>Standard specification:</strong> Confirm standard size and material before publishing</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","flexible","flexible,instant-buy,smartstock","FALSE","Order quantity","5,000 units","FP-105-5000","20000.00","TRUE","TRUE","draft"
"sachet-stick-pack","","","","","","","FALSE","Order quantity","10,000 units","FP-105-10000","31200.00","TRUE","TRUE","draft"
"plastic-bottle","Plastic Bottles & Jars","<p>Beverages, supplements, powders, sauces, personal care and home care</p><p><strong>Standard specification:</strong> Confirm standard size and material before publishing</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","bottles","bottles,instant-buy,smartstock","FALSE","Order quantity","500 units","BC-201-500","22500.00","TRUE","TRUE","draft"
"plastic-bottle","","","","","","","FALSE","Order quantity","1,000 units","BC-201-1000","35100.00","TRUE","TRUE","draft"
"plastic-bottle","","","","","","","FALSE","Order quantity","2,500 units","BC-201-2500","65250.00","TRUE","TRUE","draft"
"plastic-bottle","","","","","","","FALSE","Order quantity","5,000 units","BC-201-5000","101250.00","TRUE","TRUE","draft"
"glass-bottle","Glass Bottles & Jars","<p>Sauces, oils, beverages, preserves, candles and wellness products</p><p><strong>Standard specification:</strong> Confirm standard size and material before publishing</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","bottles","bottles,instant-buy","FALSE","Order quantity","200 units","BC-202-200","24000.00","TRUE","TRUE","draft"
"glass-bottle","","","","","","","FALSE","Order quantity","400 units","BC-202-400","37440.00","TRUE","TRUE","draft"
"glass-bottle","","","","","","","FALSE","Order quantity","1,000 units","BC-202-1000","69600.00","TRUE","TRUE","draft"
"glass-bottle","","","","","","","FALSE","Order quantity","2,000 units","BC-202-2000","108000.00","TRUE","TRUE","draft"
"cosmetic-jar","Cosmetic Jar","<p>Face cream, body butter, hair mask, serums, beard balm</p><p><strong>Standard specification:</strong> Confirm standard size and material before publishing</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","bottles","bottles,instant-buy","FALSE","Order quantity","200 units","BC-204-200","15000.00","TRUE","TRUE","draft"
"cosmetic-jar","","","","","","","FALSE","Order quantity","400 units","BC-204-400","23400.00","TRUE","TRUE","draft"
"cosmetic-jar","","","","","","","FALSE","Order quantity","1,000 units","BC-204-1000","43500.00","TRUE","TRUE","draft"
"cosmetic-jar","","","","","","","FALSE","Order quantity","2,000 units","BC-204-2000","67500.00","TRUE","TRUE","draft"
"dropper-bottle","Dropper Bottle","<p>Face serums, essential oils, CBD tinctures, eye drops, aromatherapy</p><p><strong>Standard specification:</strong> Confirm standard size and material before publishing</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","bottles","bottles,instant-buy","FALSE","Order quantity","200 units","BC-205-200","12000.00","TRUE","TRUE","draft"
"dropper-bottle","","","","","","","FALSE","Order quantity","400 units","BC-205-400","18720.00","TRUE","TRUE","draft"
"dropper-bottle","","","","","","","FALSE","Order quantity","1,000 units","BC-205-1000","34800.00","TRUE","TRUE","draft"
"dropper-bottle","","","","","","","FALSE","Order quantity","2,000 units","BC-205-2000","54000.00","TRUE","TRUE","draft"
"airless-pump-bottle","Airless Pump Bottle","<p>Serums, moisturizers, foundations, sunscreens, anti-aging creams</p><p><strong>Standard specification:</strong> Confirm standard size and material before publishing</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","bottles","bottles,instant-buy","FALSE","Order quantity","200 units","BC-206-200","26000.00","TRUE","TRUE","draft"
"airless-pump-bottle","","","","","","","FALSE","Order quantity","400 units","BC-206-400","40560.00","TRUE","TRUE","draft"
"airless-pump-bottle","","","","","","","FALSE","Order quantity","1,000 units","BC-206-1000","75400.00","TRUE","TRUE","draft"
"airless-pump-bottle","","","","","","","FALSE","Order quantity","2,000 units","BC-206-2000","117000.00","TRUE","TRUE","draft"
"cosmetic-tube","Cosmetic Tube","<p>Toothpaste, lotions, sunscreen, hair color, hand cream, pharma gels</p><p><strong>Standard specification:</strong> Confirm standard size and material before publishing</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","tubes","tubes,instant-buy,smartstock","FALSE","Order quantity","1,000 units","TS-301-1000","22000.00","TRUE","TRUE","draft"
"cosmetic-tube","","","","","","","FALSE","Order quantity","2,000 units","TS-301-2000","34320.00","TRUE","TRUE","draft"
"cosmetic-tube","","","","","","","FALSE","Order quantity","5,000 units","TS-301-5000","63800.00","TRUE","TRUE","draft"
"cosmetic-tube","","","","","","","FALSE","Order quantity","10,000 units","TS-301-10000","99000.00","TRUE","TRUE","draft"
"folding-carton","Folding Cartons","<p>Beauty, supplements, food, electronics, pharma and retail products</p><p><strong>Standard specification:</strong> Confirm standard size and material before publishing</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","boxes","boxes,instant-buy,smartstock","FALSE","Order quantity","500 units","BX-401-500","9000.00","TRUE","TRUE","draft"
"folding-carton","","","","","","","FALSE","Order quantity","1,000 units","BX-401-1000","14040.00","TRUE","TRUE","draft"
"folding-carton","","","","","","","FALSE","Order quantity","2,500 units","BX-401-2500","26100.00","TRUE","TRUE","draft"
"folding-carton","","","","","","","FALSE","Order quantity","5,000 units","BX-401-5000","40500.00","TRUE","TRUE","draft"
"rigid-box","Rigid & Magnetic Boxes","<p>Gifting, jewellery, beauty, fashion, electronics and premium D2C kits</p><p><strong>Standard specification:</strong> Confirm standard size and material before publishing</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","boxes","boxes,instant-buy","FALSE","Order quantity","100 units","BX-402-100","35000.00","TRUE","TRUE","draft"
"rigid-box","","","","","","","FALSE","Order quantity","200 units","BX-402-200","54600.00","TRUE","TRUE","draft"
"rigid-box","","","","","","","FALSE","Order quantity","500 units","BX-402-500","101500.00","TRUE","TRUE","draft"
"rigid-box","","","","","","","FALSE","Order quantity","1,000 units","BX-402-1000","157500.00","TRUE","TRUE","draft"
"mailer-box","Mailer Box","<p>D2C shipping, subscription boxes, fashion, food kits, cosmetics</p><p><strong>Standard specification:</strong> Confirm standard size and material before publishing</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","ecommerce","ecommerce,instant-buy,smartstock","FALSE","Order quantity","200 units","EC-501-200","15000.00","TRUE","TRUE","draft"
"mailer-box","","","","","","","FALSE","Order quantity","400 units","EC-501-400","23400.00","TRUE","TRUE","draft"
"mailer-box","","","","","","","FALSE","Order quantity","1,000 units","EC-501-1000","43500.00","TRUE","TRUE","draft"
"mailer-box","","","","","","","FALSE","Order quantity","2,000 units","EC-501-2000","67500.00","TRUE","TRUE","draft"
"corrugated-shipping-box","Corrugated Box (Shipping)","<p>General e-commerce shipping, FMCG bulk dispatch, B2B warehouse</p><p><strong>Standard specification:</strong> Confirm standard size and material before publishing</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","ecommerce","ecommerce,instant-buy,smartstock","FALSE","Order quantity","500 units","EC-502-500","17500.00","TRUE","TRUE","draft"
"corrugated-shipping-box","","","","","","","FALSE","Order quantity","1,000 units","EC-502-1000","27300.00","TRUE","TRUE","draft"
"corrugated-shipping-box","","","","","","","FALSE","Order quantity","2,500 units","EC-502-2500","50750.00","TRUE","TRUE","draft"
"corrugated-shipping-box","","","","","","","FALSE","Order quantity","5,000 units","EC-502-5000","78750.00","TRUE","TRUE","draft"
"food-delivery-box","Food Delivery Box","<p>Cloud kitchens, QSR, tiffin services, meal kit delivery, bakeries</p><p><strong>Standard specification:</strong> Confirm standard size and material before publishing</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","ecommerce","ecommerce,instant-buy,smartstock","FALSE","Order quantity","200 units","EC-503-200","8000.00","TRUE","TRUE","draft"
"food-delivery-box","","","","","","","FALSE","Order quantity","400 units","EC-503-400","12480.00","TRUE","TRUE","draft"
"food-delivery-box","","","","","","","FALSE","Order quantity","1,000 units","EC-503-1000","23200.00","TRUE","TRUE","draft"
"food-delivery-box","","","","","","","FALSE","Order quantity","2,000 units","EC-503-2000","36000.00","TRUE","TRUE","draft"
"courier-bag","Courier & Return Mailers","<p>E-commerce courier shipping, clothing, documents, books</p><p><strong>Standard specification:</strong> Confirm standard size and material before publishing</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","ecommerce","ecommerce,instant-buy,smartstock","FALSE","Order quantity","1,000 units","EC-504-1000","10000.00","TRUE","TRUE","draft"
"courier-bag","","","","","","","FALSE","Order quantity","2,000 units","EC-504-2000","15600.00","TRUE","TRUE","draft"
"courier-bag","","","","","","","FALSE","Order quantity","5,000 units","EC-504-5000","29000.00","TRUE","TRUE","draft"
"courier-bag","","","","","","","FALSE","Order quantity","10,000 units","EC-504-10000","45000.00","TRUE","TRUE","draft"
"bubble-wrap-air-pillows","Protective Wrap & Void Fill","<p>E-commerce fulfilment, fragile goods, gifting, cosmetics and electronics</p><p><strong>Standard specification:</strong> Confirm standard size and material before publishing</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","protective","protective,instant-buy,smartstock","FALSE","Order quantity","1 rolls","PR-601-1","5000.00","TRUE","TRUE","draft"
"bubble-wrap-air-pillows","","","","","","","FALSE","Order quantity","2 rolls","PR-601-2","7800.00","TRUE","TRUE","draft"
"bubble-wrap-air-pillows","","","","","","","FALSE","Order quantity","5 rolls","PR-601-5","14500.00","TRUE","TRUE","draft"
"bubble-wrap-air-pillows","","","","","","","FALSE","Order quantity","10 rolls","PR-601-10","22500.00","TRUE","TRUE","draft"
"labels","Custom Labels & Stickers","<p>Jars, bottles, pouches, boxes, seals and short-run product launches</p><p><strong>Standard specification:</strong> Confirm standard size and material before publishing</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","labels","labels,instant-buy,smartstock","FALSE","Order quantity","1,000 units","LC-801-1000","8000.00","TRUE","TRUE","draft"
"labels","","","","","","","FALSE","Order quantity","2,000 units","LC-801-2000","12480.00","TRUE","TRUE","draft"
"labels","","","","","","","FALSE","Order quantity","5,000 units","LC-801-5000","23200.00","TRUE","TRUE","draft"
"labels","","","","","","","FALSE","Order quantity","10,000 units","LC-801-10000","36000.00","TRUE","TRUE","draft"
"perfume-bottle","Perfume and Attar Bottle","<p>Perfume, attar, essential oil and premium sampling</p><p><strong>Standard specification:</strong> 30 ml stock glass bottle with crimp pump</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","bottles","bottles,instant-buy,smartstock","FALSE","Order quantity","100 units","BC-213-100","8800.00","TRUE","TRUE","draft"
"perfume-bottle","","","","","","","FALSE","Order quantity","250 units","BC-213-250","17250.00","TRUE","TRUE","draft"
"perfume-bottle","","","","","","","FALSE","Order quantity","500 units","BC-213-500","27500.00","TRUE","TRUE","draft"
"perfume-bottle","","","","","","","FALSE","Order quantity","1,000 units","BC-213-1000","46000.00","TRUE","TRUE","draft"
"paper-shipping-mailer","Paper & Padded Mailers","<p>Apparel, books, jewellery, beauty, accessories and small electronics</p><p><strong>Standard specification:</strong> 250 x 330 mm, peel-and-seal, one-color print</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","ecommerce","ecommerce,instant-buy,smartstock,lower-impact","FALSE","Order quantity","100 units","EC-505-100","2400.00","TRUE","TRUE","draft"
"paper-shipping-mailer","","","","","","","FALSE","Order quantity","250 units","EC-505-250","4375.00","TRUE","TRUE","draft"
"paper-shipping-mailer","","","","","","","FALSE","Order quantity","500 units","EC-505-500","6800.00","TRUE","TRUE","draft"
"paper-shipping-mailer","","","","","","","FALSE","Order quantity","1,000 units","EC-505-1000","10800.00","TRUE","TRUE","draft"
"frosted-zipper-garment-bag","Frosted Zipper Garment Bag","<p>Fashion, apparel, linens and premium inner packaging</p><p><strong>Standard specification:</strong> 300 x 400 mm, zipper, one-color print</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","ecommerce","ecommerce,instant-buy","FALSE","Order quantity","100 units","EC-509-100","2200.00","TRUE","TRUE","draft"
"frosted-zipper-garment-bag","","","","","","","FALSE","Order quantity","250 units","EC-509-250","4000.00","TRUE","TRUE","draft"
"frosted-zipper-garment-bag","","","","","","","FALSE","Order quantity","500 units","EC-509-500","6250.00","TRUE","TRUE","draft"
"frosted-zipper-garment-bag","","","","","","","FALSE","Order quantity","1,000 units","EC-509-1000","10000.00","TRUE","TRUE","draft"
"printed-paper-carrier-bag","Printed Paper Carrier Bag","<p>Retail, bakery, events, gifting and takeaway</p><p><strong>Standard specification:</strong> Medium bag, twisted handle, one-color print</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","ecommerce","ecommerce,instant-buy,smartstock,lower-impact","FALSE","Order quantity","50 units","EC-510-50","1200.00","TRUE","TRUE","draft"
"printed-paper-carrier-bag","","","","","","","FALSE","Order quantity","100 units","EC-510-100","1700.00","TRUE","TRUE","draft"
"printed-paper-carrier-bag","","","","","","","FALSE","Order quantity","250 units","EC-510-250","3000.00","TRUE","TRUE","draft"
"printed-paper-carrier-bag","","","","","","","FALSE","Order quantity","500 units","EC-510-500","4750.00","TRUE","TRUE","draft"
"hang-tag-header-card","Hang Tags & Insert Cards","<p>Fashion, jewellery, beauty, gifting, product instructions and D2C unboxing</p><p><strong>Standard specification:</strong> 55 x 90 mm, 4-color, punched</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","labels","labels,instant-buy,smartstock,lower-impact","FALSE","Order quantity","50 units","LC-808-50","600.00","TRUE","TRUE","draft"
"hang-tag-header-card","","","","","","","FALSE","Order quantity","100 units","LC-808-100","750.00","TRUE","TRUE","draft"
"hang-tag-header-card","","","","","","","FALSE","Order quantity","250 units","LC-808-250","1100.00","TRUE","TRUE","draft"
"hang-tag-header-card","","","","","","","FALSE","Order quantity","500 units","LC-808-500","1600.00","TRUE","TRUE","draft"
"printed-tissue-wrapping-paper","Printed Tissue and Wrapping Paper","<p>Fashion, gifting, beauty, jewellery and premium unboxing</p><p><strong>Standard specification:</strong> 500 x 750 mm sheet, one-color repeat print</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","labels","labels,instant-buy,smartstock,lower-impact","FALSE","Order quantity","250 units","LC-810-250","3500.00","TRUE","TRUE","draft"
"printed-tissue-wrapping-paper","","","","","","","FALSE","Order quantity","500 units","LC-810-500","5250.00","TRUE","TRUE","draft"
"printed-tissue-wrapping-paper","","","","","","","FALSE","Order quantity","1,000 units","LC-810-1000","8100.00","TRUE","TRUE","draft"
"printed-tissue-wrapping-paper","","","","","","","FALSE","Order quantity","2,500 units","LC-810-2500","16000.00","TRUE","TRUE","draft"
"printed-bopp-tape","Custom Packaging Tape","<p>Branded shipping cartons, tamper visibility and warehouse operations</p><p><strong>Standard specification:</strong> 48 mm x 65 m, one-color print</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","labels","labels,instant-buy,smartstock","FALSE","Order quantity","72 units","LC-811-72","6624.00","TRUE","TRUE","draft"
"printed-bopp-tape","","","","","","","FALSE","Order quantity","144 units","LC-811-144","11232.00","TRUE","TRUE","draft"
"printed-bopp-tape","","","","","","","FALSE","Order quantity","360 units","LC-811-360","23040.00","TRUE","TRUE","draft"
"printed-bopp-tape","","","","","","","FALSE","Order quantity","720 units","LC-811-720","40320.00","TRUE","TRUE","draft"
"bagasse-clamshell","Bagasse Food Containers","<p>QSR, cloud kitchens, events and hot takeaway food</p><p><strong>Standard specification:</strong> 9 x 6 inch, plain, single compartment</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","sustainable","sustainable,instant-buy,smartstock,lower-impact","FALSE","Order quantity","500 units","SP-905-500","4900.00","TRUE","TRUE","draft"
"bagasse-clamshell","","","","","","","FALSE","Order quantity","1,000 units","SP-905-1000","8600.00","TRUE","TRUE","draft"
"bagasse-clamshell","","","","","","","FALSE","Order quantity","2,500 units","SP-905-2500","19250.00","TRUE","TRUE","draft"
"bagasse-clamshell","","","","","","","FALSE","Order quantity","5,000 units","SP-905-5000","35000.00","TRUE","TRUE","draft"
"paper-cup","Paper Cups, Bowls & Food Tubs","<p>Beverages, salads, noodles, desserts, curries and takeaway</p><p><strong>Standard specification:</strong> 250 ml, single wall, one-color print</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","sustainable","sustainable,instant-buy,smartstock,lower-impact","FALSE","Order quantity","1,000 units","SP-907-1000","5800.00","TRUE","TRUE","draft"
"paper-cup","","","","","","","FALSE","Order quantity","2,500 units","SP-907-2500","11750.00","TRUE","TRUE","draft"
"paper-cup","","","","","","","FALSE","Order quantity","5,000 units","SP-907-5000","20500.00","TRUE","TRUE","draft"
"paper-cup","","","","","","","FALSE","Order quantity","10,000 units","SP-907-10000","36000.00","TRUE","TRUE","draft"
"greaseproof-food-wrap-paper","Greaseproof and Food Wrap Paper","<p>Burgers, bakery, deli, tray liners and QSR branding</p><p><strong>Standard specification:</strong> 300 x 300 mm sheet, one-color repeat print</p>","Packworkz","Business & Industrial > Shipping Supplies > Packaging Materials","sustainable","sustainable,instant-buy,lower-impact","FALSE","Order quantity","1,000 units","SP-909-1000","2900.00","TRUE","TRUE","draft"
"greaseproof-food-wrap-paper","","","","","","","FALSE","Order quantity","2,500 units","SP-909-2500","5250.00","TRUE","TRUE","draft"
"greaseproof-food-wrap-paper","","","","","","","FALSE","Order quantity","5,000 units","SP-909-5000","8250.00","TRUE","TRUE","draft"
"greaseproof-food-wrap-paper","","","","","","","FALSE","Order quantity","10,000 units","SP-909-10000","13000.00","TRUE","TRUE","draft"
